,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
293,T.Lockett,Tyler Lockett,SEA,WR,19.7,32,kickoff ret,0,0,2017,REG,15,2017121708,,"Q3 G.Zuerlein kicks 63 yards from LA 35 to SEA 2. T.Lockett pushed ob at SEA 34 for 32 yards (N.Robey). Penalty on LA-N.Robey, Unnecessary Roughness, offsetting. Penalty on SEA-D.Alexander, Unnecessary Roughness, offsetting."
294,I.Crowell,Isaiah Crowell,CLE,RB,19.66,59,rush,0,0,2017,REG,15,2017121702,,Q2 (11:11) I.Crowell left guard to BAL 37 for 59 yards (B.Carr).
295,J.Natson,JoJo Natson,NYJ,WR,19.58,20,kickoff ret,0,0,2017,REG,15,2017121705,,Q4 W.Lutz kicks 64 yards from NO 35 to NYJ 1. J.Natson ran ob at NYJ 21 for 20 yards (V.Bell).
296,M.Breida,Matt Breida,SF,RB,19.47,28,kickoff ret,0,1,2017,REG,15,2017121710,,"Q2 R.Succop kicks 68 yards from TEN 35 to SF -3. M.Breida ran ob at SF 27 for 30 yards (T.Taylor). PENALTY on SF-E.Lee, Offensive Holding, 10 yards, enforced at SF 25."
297,J.Mckinnon,Jerick McKinnon,MIN,RB,19.33,29,reception,0,0,2017,REG,15,2017121704,,Q3 (8:43) C.Keenum pass short left to J.McKinnon pushed ob at CIN 24 for 29 yards (D.Dennard).
298,T.Austin,Tavon Austin,LA,WR,19.33,18,rush,0,0,2017,REG,15,2017121708,,Q3 (9:04) T.Austin right end pushed ob at SEA 14 for 18 yards (B.Maxwell).
299,J.Mickens,Jaydon Mickens,JAX,WR,19.21,41,reception,0,0,2017,REG,15,2017121703,,Q2 (:37) (Shotgun) B.Bortles pass deep left to J.Mickens pushed ob at HOU 4 for 41 yards (M.Gilchrist).
300,T.Hill,Tyreek Hill,KC,WR,21.35,52,reception,0,0,2017,REG,16,2017122403,,Q2 (15:00) (Shotgun) A.Smith pass deep middle to T.Hill to MIA 13 for 52 yards (B.McCain).
301,T.Gurley,Todd Gurley,LA,RB,21.23,80,reception,1,0,2017,REG,16,2017122407,,"Q2 (4:38) (Shotgun) J.Goff pass short left to T.Gurley for 80 yards, TOUCHDOWN."
302,T.Benjamin,Travis Benjamin,LAC,WR,21.17,14,punt ret,0,1,2017,REG,16,2017122406,,"Q4 (14:32) L.Edwards punts 46 yards to LAC 9, Center-T.Hennessy. T.Benjamin for 91 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on LAC-N.Dzubnar, Offensive Holding, 10 yards, enforced at LAC 23."
303,J.Jones,Julio Jones,ATL,WR,20.9,37,reception,0,0,2017,REG,16,2017122405,,"Q4 (3:04) (Shotgun) M.Ryan pass short left to Ju.Jones pushed ob at NO 31 for 37 yards (M.Williams). Pass 2, YAC 35"
304,T.Ginn,Ted Ginn,NO,WR,20.72,54,reception,1,0,2017,REG,16,2017122405,,"Q2 (:22) (Shotgun) D.Brees pass deep right to T.Ginn for 54 yards, TOUCHDOWN. Pass 30, YAC 24"
305,D.Johnson,Dontae Johnson,SF,CB,20.58,50,int,1,0,2017,REG,16,2017122409,,"Q2 (11:13) (Shotgun) B.Bortles pass short middle intended for K.Cole INTERCEPTED by D.Johnson at 50. D.Johnson for 50 yards, TOUCHDOWN."
