,rank,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,quarter,time,desc
69,10,C.Clement,Corey Clement,PHI,RB,17.28,25,kickoff ret,0,0,2017,POST,22,2018020400,38,1,,S.Gostkowski kicks 64 yards from NE 35 to PHI 1. C.Clement pushed ob at PHI 26 for 25 yards (P.Chung).
70,11,D.Amendola,Danny Amendola,NE,WR,17.02,30,reception,0,0,2017,POST,22,2018020400,3432,4,11:24,(11:24) T.Brady pass short left to D.Amendola pushed ob at PHI 17 for 30 yards (R.McLeod).
71,12,C.Hogan,Chris Hogan,NE,WR,16.75,28,reception,0,0,2017,POST,22,2018020400,526,1,07:15,(7:15) T.Brady pass short left to C.Hogan to PHI 27 for 28 yards (C.Graham; R.McLeod).
72,13,B.Cooks,Brandin Cooks,NE,WR,16.75,1,rush,0,0,2017,POST,22,2018020400,988,2,15:00,(15:00) B.Cooks right end to PHI 8 for 1 yard (R.McLeod).
73,14,C.Clement,Corey Clement,PHI,RB,16.71,55,reception,0,0,2017,POST,22,2018020400,1914,2,01:46,(1:46) (Shotgun) N.Foles pass short right to C.Clement to NE 8 for 55 yards (P.Chung).
74,15,J.White,James White,NE,RB,16.67,15,reception,0,0,2017,POST,22,2018020400,462,1,07:52,(7:52) (Shotgun) T.Brady pass short left to J.White pushed ob at NE 40 for 15 yards (M.Jenkins).
75,16,R.Burkhead,Rex Burkhead,NE,RB,16.43,3,kickoff ret,0,0,2017,POST,22,2018020400,4193,4,,J.Elliott kicks 58 yards from PHI 35 to NE 7. D.Lewis to NE 10 for 3 yards. Lateral to R.Burkhead to NE 9 for -1 yards (B.Braman).
76,17,N.Agholor,Nelson Agholor,PHI,WR,16.3,24,reception,0,0,2017,POST,22,2018020400,3085,3,03:23,(3:23) (Shotgun) N.Foles pass deep right to N.Agholor pushed ob at PHI 49 for 24 yards (P.Chung).
77,18,L.Blount,LeGarrette Blount,PHI,RB,16.2,21,rush,1,0,2017,POST,22,2018020400,1343,2,08:55,"(8:55) I.Seumalo reported in as eligible.  L.Blount left end for 21 yards, TOUCHDOWN."
78,19,D.Amendola,Danny Amendola,NE,WR,16.14,23,reception,0,0,2017,POST,22,2018020400,2231,2,00:03,(:03) (Shotgun) T.Brady pass short right to D.Amendola to PHI 27 for 23 yards (C.Graham).
79,20,C.Hogan,Chris Hogan,NE,WR,16.14,26,reception,1,0,2017,POST,22,2018020400,3030,3,03:29,"(3:29) T.Brady pass deep right to C.Hogan for 26 yards, TOUCHDOWN."
